keyword,canonical_url
onlinesbi.sbi,https://www.onlinesbi.sbi
sbi,https://sbi.co.in
sbicard.com,https://www.sbicard.com
yonobusiness.sbi,https://yonobusiness.sbi
sbiepay.sbi,https://sbiepay.sbi
sbilife,https://www.sbilife.co.in
icicibank,https://www.icicibank.com
icicicareers,https://www.icicicareers.com
icicidirect,https://www.icicidirect.com
icicilombard,https://www.icicilombard.com
iciciprulife,https://www.iciciprulife.com
hdfcbank,https://www.hdfcbank.com
hdfc,https://www.hdfc.com
hdfcergo,https://www.hdfcergo.com
hdfclife,https://www.hdfclife.com
pnbindia,https://www.pnbindia.in
netpnb,https://www.netpnb.com
bankofbaroda,https://www.bankofbaroda.in
bobibanking,https://www.bobibanking.com
bobmutualfund,https://www.barodabnpparibasmf.in
nic.gov,https://www.nic.gov.in
email.gov,https://mail.gov.in
kavach.mail.gov,https://kavach.mail.gov.in
accounts.mgovcloud,https://accounts.mgovcloud.in
dc.crsorgi.gov,https://dc.crsorgi.gov.in
rgcci.gov,https://censusindia.gov.in
censusindia.gov,https://censusindia.gov.in
irctc,https://www.irctc.co.in
tatkal.irctc,https://www.irctc.co.in
ecatering.irctc,https://www.ecatering.irctc.co.in
airtel,https://www.airtel.in
airtelxstream,https://www.airtelxstream.in
bharti-airtel,https://www.airtel.in/about-bharti/about-bharti-airtel
iocl,https://www.iocl.com
indianoil,https://www.iocl.com
indane,https://iocl.com
