domain,keyword,final_risk_score,is_phishing,domain_score,content_score,similarity_score,domain_reasons,content_reasons,title,status_code,has_forms,is_https,detection_method,monitoring_date,error
indiapoi.xyz,indianoil,0.2,False,0,0.2,0,,Site inaccessible,,0,False,False,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiapoi.xyz', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x76a460d44800>: Failed to resolve 'indiapoi.xyz' ([Errno -5] No address associated with hostname)""))"
indianidol16.lat,indianoil,0.23,False,0.2,0.1,0.0,Contains numbers,JavaScript redirects detected (1),Indian Idol Season 16 Sony Tv Show Watch Full Episodes Online - Indian Idol Season 16 Sony Tv Show Watch Full Episodes Online,200,True,True,Similarity Jaro-Winkler,2025-10-11,
indiaintro.com,indianoil,0.2,False,0,0.2,0,,Site inaccessible,,0,False,False,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiaintro.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x76a4604db500>: Failed to resolve 'indiaintro.com' ([Errno -2] Name or service not known)""))"
indianitworld.com,indianoil,0.1,False,0,0,0.0,,,广发体育·(中国)官方网站-GUANGFA SPORT,200,False,True,Similarity Jaro-Winkler,2025-10-11,
cocoindiano.com,indianoil,0.15,False,0,0.1,0,,JavaScript redirects detected (1),,200,False,True,Similarity Jaccard,2025-10-11,
sindaneway.com,indane,0.2,False,0,0.2,0,,Site inaccessible,,0,False,False,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='sindaneway.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x76a4605aa930>: Failed to resolve 'sindaneway.com' ([Errno -5] No address associated with hostname)""))"
indaindeer.com,indane,0.15,False,0,0.1,0.0,,JavaScript redirects detected (1),indaindeer.com,200,True,True,Similarity Jaro-Winkler,2025-10-11,
indiandeer.shop,indane,0.15,False,0,0.1,0,,JavaScript redirects detected (1),,200,False,True,Similarity Jaro-Winkler,2025-10-11,
findaneurpsychologist.com,indane,0.35,False,0,0.5,0,,SSL certificate issues; Site inaccessible,,0,False,False,Full Word Match,2025-10-11,SSL Certificate Error
inden.cyou,indane,0.1,False,0,0,0.0,,,Not Found,404,False,True,Similarity Jaro-Winkler,2025-10-11,
indiandeer.com,indane,0.15,False,0,0.1,0.0,,JavaScript redirects detected (1),Indian Deer,200,True,True,Similarity Jaro-Winkler,2025-10-11,
aperioclinicalresearch.com,iocl,0.15,False,0,0.1,0.0,,JavaScript redirects detected (1),Aperio Clinical Research,200,True,True,Full Word Match,2025-10-11,
iocplu.info,iocl,0.25,False,0,0.3,0.0,,External form submission; JavaScript redirects detected (4),Google,200,True,True,Similarity Jaro-Winkler,2025-10-11,
app-inicioclientes.com,iocl,0.1,False,0,0,0,,,,410,False,True,Full Word Match,2025-10-11,
bioclaritydiagnostic.com,iocl,0.1,False,0,0,0.0,,,Coming Soon,200,False,True,Full Word Match,2025-10-11,
audioclass.co.in,iocl,0.1,False,0,0,0.0,,,"AudioClass &#8211; Just Listen and Learn.. Anytime, Anywhere",200,False,True,Full Word Match,2025-10-11,
estudioclq.com,iocl,0.1,False,0,0,0.0,,,Inicio,200,False,True,Full Word Match,2025-10-11,
iocloudstudio.digital,iocl,0.1,False,0,0,0.0,,,,404,False,True,Full Word Match,2025-10-11,
www.iocr.pro,iocl,0.2,False,0,0.2,0,,Site inaccessible,,0,False,False,Similarity Damerau-Levenshtein,2025-10-11,"HTTPSConnectionPool(host='www.iocr.pro', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x76a4601711c0>: Failed to resolve 'www.iocr.pro' ([Errno -2] Name or service not known)""))"
studioclub.org,iocl,0.15,False,0,0.1,0,,JavaScript redirects detected (1),,200,False,True,Full Word Match,2025-10-11,
servicioclienteenlinea.com,iocl,0.1,False,0,0,0.0,,,VERIFICA TRANSAC,200,True,True,Full Word Match,2025-10-11,
en-us-cardioclear7.shop,iocl,0.18,False,0.2,0,0.0,Contains numbers,,en-us-cardioclear7.shop,200,True,True,Full Word Match,2025-10-11,
iambiocleany.com,iocl,0.123,False,0,0.1,0.265,,JavaScript redirects detected (3),Just a moment...,403,False,True,Full Word Match,2025-10-11,
comunicazioni.iol.it,iocl,0.1,False,0,0,0.0,,,,404,False,True,Similarity Damerau-Levenshtein,2025-10-11,
us4.analytics.calabriocloud.com,iocl,0.279,False,0.5,0,0.21,Contains numbers; Multiple subdomains; Very long domain,,,200,False,True,Full Word Match,2025-10-11,
adarioclimatizacoes.com.br,iocl,0.1,False,0,0,0.0,,,Adario Climatização - Manutenção em Ar-condicionado em Rio Branco,200,False,True,Full Word Match,2025-10-11,
bioclinicacr.com,iocl,0.15,False,0,0.1,0,,JavaScript redirects detected (1),,200,False,True,Full Word Match,2025-10-11,
truebioclean.com,iocl,0.2,False,0,0.2,0,,Site inaccessible,,0,False,False,Full Word Match,2025-10-11,Timeout
apoioclientesantanderdigital.com,iocl,0.24,False,0.1,0.2,0,Very long domain,Site inaccessible,,0,False,False,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='apoioclientesantanderdigital.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x76a4605a9b20>: Failed to resolve 'apoioclientesantanderdigital.com' ([Errno -2] Name or service not known)""))"
pergolabioclimatic.com,iocl,0.35,False,0,0.5,0,,SSL certificate issues; Site inaccessible,,0,False,False,Full Word Match,2025-10-11,SSL Certificate Error
