domain,keyword,status,risk_score,is_phishing,confidence,content_similarity,visual_similarity,llm_indicators,title,has_forms,financial_keywords,detection_method,monitoring_date,error
indiapoi.xyz,indianoil,ERROR,0.5,,,,,,,,,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiapoi.xyz', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da124d94170>: Failed to resolve 'indiapoi.xyz' ([Errno -5] No address associated with hostname)""))"
indianidol16.lat,indianoil,ANALYZED,0.091,False,0.0,0.043,0.929,,Indian Idol Season 16 Sony Tv Show Watch Full Episodes Online - Indian Idol Season 16 Sony Tv Show Watch Full Episodes Online,True,block; indian; official; login,Similarity Jaro-Winkler,2025-10-11,
indiaintro.com,indianoil,ERROR,0.5,,,,,,,,,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiaintro.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da124534800>: Failed to resolve 'indiaintro.com' ([Errno -2] Name or service not known)""))"
indianitworld.com,indianoil,ANALYZED,0.091,False,0.0,0.016,0.911,,广发体育·(中国)官方网站-GUANGFA SPORT,False,,Similarity Jaro-Winkler,2025-10-11,
cocoindiano.com,indianoil,ANALYZED,0.091,False,0.0,0.0,0.905,,,False,,Similarity Jaccard,2025-10-11,
sindaneway.com,indane,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='sindaneway.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da124529520>: Failed to resolve 'sindaneway.com' ([Errno -5] No address associated with hostname)""))"
indaindeer.com,indane,ANALYZED,0.091,False,0.0,0.0,0.914,,indaindeer.com,True,block; register,Similarity Jaro-Winkler,2025-10-11,
indiandeer.shop,indane,ANALYZED,0.091,False,0.0,0.0,0.932,,,False,,Similarity Jaro-Winkler,2025-10-11,
findaneurpsychologist.com,indane,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='findaneurpsychologist.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))"
inden.cyou,indane,ANALYZED,0.091,False,0.0,0.0,0.91,,Not Found,False,,Similarity Jaro-Winkler,2025-10-11,
indiandeer.com,indane,ANALYZED,0.091,False,0.0,0.0,0.914,,Indian Deer,True,block; indian; register,Similarity Jaro-Winkler,2025-10-11,
aperioclinicalresearch.com,iocl,ANALYZED,0.091,False,0.0,0.001,0.915,,Aperio Clinical Research,True,account; register; block,Full Word Match,2025-10-11,
iocplu.info,iocl,ANALYZED,0.091,False,0.0,0.124,0.91,,Google,True,block; verify; signin; alert; bob,Similarity Jaro-Winkler,2025-10-11,
app-inicioclientes.com,iocl,ANALYZED,0.451,False,0.6,0.061,0.911,HIGH: Mobile app impersonation,Tripleplay - warning,False,block,Full Word Match,2025-10-11,
bioclaritydiagnostic.com,iocl,ANALYZED,0.1,False,0.0,0.0,0.902,,Coming Soon,False,,Full Word Match,2025-10-11,
audioclass.co.in,iocl,ANALYZED,0.091,False,0.0,0.038,0.932,,"AudioClass &#8211; Just Listen and Learn.. Anytime, Anywhere",False,block; login; account; password; register,Full Word Match,2025-10-11,
estudioclq.com,iocl,ANALYZED,0.1,False,0.0,0.001,0.906,,Inicio,False,card; block,Full Word Match,2025-10-11,
iocloudstudio.digital,iocl,ANALYZED,0.091,False,0.0,0.0,0.932,,,False,,Full Word Match,2025-10-11,
www.iocr.pro,iocl,ANALYZED,0.091,False,0.0,0.062,0.91,,Tripleplay - warning,False,block,Similarity Damerau-Levenshtein,2025-10-11,
studioclub.org,iocl,ANALYZED,0.091,False,0.0,0.0,0.902,,,False,,Full Word Match,2025-10-11,
servicioclienteenlinea.com,iocl,ANALYZED,0.091,False,0.0,0.0,0.931,,VERIFICA TRANSAC,True,card; block,Full Word Match,2025-10-11,
en-us-cardioclear7.shop,iocl,ANALYZED,0.1,False,0.0,0.034,0.931,,en-us-cardioclear7.shop,True,block,Full Word Match,2025-10-11,
iambiocleany.com,iocl,ANALYZED,0.1,False,0.0,0.033,0.886,,Just a moment...,False,,Full Word Match,2025-10-11,
comunicazioni.iol.it,iocl,ANALYZED,0.091,False,0.0,0.0,0.911,,,False,,Similarity Damerau-Levenshtein,2025-10-11,
us4.analytics.calabriocloud.com,iocl,ANALYZED,0.211,False,0.2,0.125,0.901,MEDIUM: Very long domain name,,False,,Full Word Match,2025-10-11,
adarioclimatizacoes.com.br,iocl,ANALYZED,0.1,False,0.0,0.006,0.919,,Adario Climatização - Manutenção em Ar-condicionado em Rio Branco,False,,Full Word Match,2025-10-11,
bioclinicacr.com,iocl,ANALYZED,0.091,False,0.0,0.0,0.905,,,False,,Full Word Match,2025-10-11,
truebioclean.com,iocl,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='truebioclean.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7da12440f7d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
apoioclientesantanderdigital.com,iocl,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='apoioclientesantanderdigital.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da12441dfd0>: Failed to resolve 'apoioclientesantanderdigital.com' ([Errno -2] Name or service not known)""))"
pergolabioclimatic.com,iocl,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
indianoflux.com,indianoil,ANALYZED,0.091,False,0.0,0.0,0.932,,,False,,Similarity Jaro-Winkler,2025-10-11,
indiansgold.com,indianoil,ERROR,0.5,,,,,,,,,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiansgold.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da12441cc80>: Failed to resolve 'indiansgold.com' ([Errno -2] Name or service not known)""))"
indiannopiece.homes,indianoil,ERROR,0.5,,,,,,,,,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='indiannopiece.homes', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da124604e90>: Failed to resolve 'indiannopiece.homes' ([Errno -2] Name or service not known)""))"
bilfe.top,sbilife,ERROR,0.5,,,,,,,,,Similarity Jaro-Winkler,2025-10-11,"HTTPSConnectionPool(host='bilfe.top', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da12441df10>: Failed to resolve 'bilfe.top' ([Errno -5] No address associated with hostname)""))"
rajeshicicibank.com,icicibank,ANALYZED,0.091,False,0.0,0.056,0.907,,rajeshicicibank.com,False,block; register,Full Word Match,2025-10-11,
winsbirs.com,sbi,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='winsbirs.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7da1244f6f90>, 'Connection to winsbirs.com timed out. (connect timeout=10)'))"
arthasbistro.com,sbi,ANALYZED,0.044,False,0.0,0.427,0.953,,Parked Domain name on Hostinger DNS system,False,card; account; secure; block,Full Word Match,2025-10-11,
www.see--sbi.fun,sbi,ERROR,0.5,,,,,,,,,Full Word Match,2025-10-11,"HTTPSConnectionPool(host='www.see--sbi.fun', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7da12441d130>: Failed to resolve 'www.see--sbi.fun' ([Errno -2] Name or service not known)""))"
